




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	Client Text Box Input (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	Client Text Box Input (150)	Client Text Box Input (expected)	Client Text Box Input (over/under)	Client Text Box Input (fold Enrichment)	Client Text Box Input (raw P-value)	Client Text Box Input (FDR)
positive regulation of oxidative stress-induced cell death (GO:1903209)	18	0	.13	-	 < 0.01	1.00E00	1.00E00
negative regulation of hydrogen peroxide-induced neuron death (GO:1903208)	6	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of hydrogen peroxide-induced neuron death (GO:1903207)	6	0	.04	-	 < 0.01	1.00E00	1.00E00
acetate biosynthetic process (GO:0019413)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of hydrogen peroxide-induced cell death (GO:1903206)	16	0	.12	-	 < 0.01	1.00E00	1.00E00
regulation of hydrogen peroxide-induced cell death (GO:1903205)	22	0	.16	-	 < 0.01	1.00E00	1.00E00
negative regulation of oxidative stress-induced neuron death (GO:1903204)	19	0	.14	-	 < 0.01	1.00E00	1.00E00
regulation of oxidative stress-induced neuron death (GO:1903203)	28	0	.20	-	 < 0.01	1.00E00	1.00E00
negative regulation of oxidative stress-induced cell death (GO:1903202)	45	0	.33	-	 < 0.01	1.00E00	1.00E00
regulation of oxidative stress-induced cell death (GO:1903201)	67	0	.49	-	 < 0.01	1.00E00	1.00E00
positive regulation of L-dopa decarboxylase activity (GO:1903200)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
hindgut morphogenesis (GO:0007442)	6	0	.04	-	 < 0.01	1.00E00	1.00E00
foregut morphogenesis (GO:0007440)	9	0	.07	-	 < 0.01	1.00E00	1.00E00
negative regulation of systemic arterial blood pressure (GO:0003085)	19	0	.14	-	 < 0.01	1.00E00	1.00E00
positive regulation of systemic arterial blood pressure (GO:0003084)	17	0	.12	-	 < 0.01	1.00E00	1.00E00
negative regulation of renal output by angiotensin (GO:0003083)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
superior olivary nucleus development (GO:0021718)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of systemic arterial blood pressure by renin-angiotensin (GO:0003081)	22	0	.16	-	 < 0.01	1.00E00	1.00E00
positive regulation of behavioral fear response (GO:2000987)	7	0	.05	-	 < 0.01	1.00E00	1.00E00
dolichol biosynthetic process (GO:0019408)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of behavioral fear response (GO:2000986)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
hexitol catabolic process (GO:0019407)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
hexitol biosynthetic process (GO:0019406)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of ATP citrate synthase activity (GO:2000984)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of ATP citrate synthase activity (GO:2000983)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of inner ear receptor cell differentiation (GO:2000982)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of inner ear receptor cell differentiation (GO:2000981)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
galactitol metabolic process (GO:0019402)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of inner ear receptor cell differentiation (GO:2000980)	9	0	.07	-	 < 0.01	1.00E00	1.00E00
alditol biosynthetic process (GO:0019401)	7	0	.05	-	 < 0.01	1.00E00	1.00E00
ectodermal digestive tract development (GO:0007439)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
mesenchymal-epithelial cell signaling involved in lung development (GO:0060496)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cell-cell signaling involved in lung development (GO:0060495)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
lung induction (GO:0060492)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
lateral sprouting involved in lung morphogenesis (GO:0060490)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of systemic arterial blood pressure (GO:0003073)	100	0	.73	-	 < 0.01	1.00E00	1.00E00
renal control of peripheral vascular resistance involved in regulation of systemic arterial blood pressure (GO:0003072)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
cerebellar granule cell differentiation (GO:0021707)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
renal system process involved in regulation of systemic arterial blood pressure (GO:0003071)	24	0	.17	-	 < 0.01	1.00E00	1.00E00
regulation of systemic arterial blood pressure by neurotransmitter (GO:0003070)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of forebrain neuron differentiation (GO:2000979)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
locus ceruleus development (GO:0021703)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of forebrain neuron differentiation (GO:2000978)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
cerebellar Purkinje cell differentiation (GO:0021702)	12	0	.09	-	 < 0.01	1.00E00	1.00E00
regulation of forebrain neuron differentiation (GO:2000977)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
positive regulation of pro-B cell differentiation (GO:2000975)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of pro-B cell differentiation (GO:2000974)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of pro-B cell differentiation (GO:2000973)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
negative regulation of detection of glucose (GO:2000971)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of detection of glucose (GO:2000970)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
planar dichotomous subdivision of terminal units involved in lung branching morphogenesis (GO:0060489)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
orthogonal dichotomous subdivision of terminal units involved in lung branching morphogenesis (GO:0060488)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
club cell differentiation (GO:0060486)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
peripheral nervous system development (GO:0007422)	79	0	.58	-	 < 0.01	1.00E00	1.00E00
acetylcholine-mediated vasodilation involved in regulation of systemic arterial blood pressure (GO:0003069)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of systemic arterial blood pressure by acetylcholine (GO:0003068)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of heart rate by epinephrine (GO:0003065)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of heart rate by hormone (GO:0003064)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of heart rate by chemical signal (GO:0003062)	6	0	.04	-	 < 0.01	1.00E00	1.00E00
positive regulation of AMPA receptor activity (GO:2000969)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
protein deglutathionylation (GO:0080058)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ventral midline development (GO:0007418)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
acrosomal vesicle exocytosis (GO:0060478)	6	0	.04	-	 < 0.01	1.00E00	1.00E00
synapse assembly (GO:0007416)	99	0	.72	-	 < 0.01	1.00E00	1.00E00
positive regulation of flagellated sperm motility involved in capacitation (GO:0060474)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
axonal fasciculation (GO:0007413)	21	0	.15	-	 < 0.01	1.00E00	1.00E00
axon target recognition (GO:0007412)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
cortical granule exocytosis (GO:0060471)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of cytosolic calcium ion concentration involved in egg activation (GO:0060470)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
hormonal regulation of the force of heart contraction (GO:0003058)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of the force of heart contraction by chemical signal (GO:0003057)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of vascular associated smooth muscle contraction (GO:0003056)	9	0	.07	-	 < 0.01	1.00E00	1.00E00
angiotensin-mediated drinking behavior (GO:0003051)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of systemic arterial blood pressure by atrial natriuretic peptide (GO:0003050)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
response to G1 DNA damage checkpoint signaling (GO:0072432)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
prevention of polyspermy (GO:0060468)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
negative regulation of fertilization (GO:0060467)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
negative regulation of neuroblast proliferation (GO:0007406)	6	0	.04	-	 < 0.01	1.00E00	1.00E00
heparan sulfate proteoglycan biosynthetic process, enzymatic modification (GO:0015015)	6	0	.04	-	 < 0.01	1.00E00	1.00E00
activation of meiosis involved in egg activation (GO:0060466)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
neuroblast proliferation (GO:0007405)	28	0	.20	-	 < 0.01	1.00E00	1.00E00
heparan sulfate proteoglycan biosynthetic process, polysaccharide chain biosynthetic process (GO:0015014)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
pharynx development (GO:0060465)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
glial cell fate determination (GO:0007403)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
heparan sulfate proteoglycan biosynthetic process (GO:0015012)	22	0	.16	-	 < 0.01	1.00E00	1.00E00
lung lobe morphogenesis (GO:0060463)	7	0	.05	-	 < 0.01	1.00E00	1.00E00
ganglion mother cell fate determination (GO:0007402)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
lung lobe development (GO:0060462)	7	0	.05	-	 < 0.01	1.00E00	1.00E00
right lung morphogenesis (GO:0060461)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
neuroblast fate determination (GO:0007400)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
left lung morphogenesis (GO:0060460)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of systemic arterial blood pressure mediated by a chemical signal (GO:0003044)	46	0	.34	-	 < 0.01	1.00E00	1.00E00
phenol-containing compound biosynthetic process (GO:0046189)	35	0	.25	-	 < 0.01	1.00E00	1.00E00
aldehyde catabolic process (GO:0046185)	13	0	.09	-	 < 0.01	1.00E00	1.00E00
response to intra-S DNA damage checkpoint signaling (GO:0072429)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
response to nitrite (GO:0080033)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
response to DNA damage checkpoint signaling (GO:0072423)	7	0	.05	-	 < 0.01	1.00E00	1.00E00
left lung development (GO:0060459)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
right lung development (GO:0060458)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of digestive system process (GO:0060457)	18	0	.13	-	 < 0.01	1.00E00	1.00E00
positive regulation of digestive system process (GO:0060456)	15	0	.11	-	 < 0.01	1.00E00	1.00E00
somatic sex determination (GO:0018993)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of gastric acid secretion (GO:0060455)	7	0	.05	-	 < 0.01	1.00E00	1.00E00
germ-line sex determination (GO:0018992)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of gastric acid secretion (GO:0060454)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of gastric acid secretion (GO:0060453)	12	0	.09	-	 < 0.01	1.00E00	1.00E00
positive regulation of cardiac muscle contraction (GO:0060452)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
positive regulation of hindgut contraction (GO:0060450)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
detection of oxygen (GO:0003032)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
D-gluconate catabolic process (GO:0046177)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
aldonic acid catabolic process (GO:0046176)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
polyol biosynthetic process (GO:0046173)	48	0	.35	-	 < 0.01	1.00E00	1.00E00
response to mitotic cell cycle checkpoint signaling (GO:0072414)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
bud elongation involved in lung branching (GO:0060449)	7	0	.05	-	 < 0.01	1.00E00	1.00E00
dichotomous subdivision of terminal units involved in lung branching (GO:0060448)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
bud outgrowth involved in lung branching (GO:0060447)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
branching involved in mammary gland duct morphogenesis (GO:0060444)	23	0	.17	-	 < 0.01	1.00E00	1.00E00
mitochondrial large ribosomal subunit assembly (GO:1902775)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
late endosome to lysosome transport (GO:1902774)	6	0	.04	-	 < 0.01	1.00E00	1.00E00
branching involved in prostate gland morphogenesis (GO:0060442)	11	0	.08	-	 < 0.01	1.00E00	1.00E00
detection of hypoxic conditions in blood by carotid body chemoreceptor signaling (GO:0003029)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
trachea formation (GO:0060440)	6	0	.04	-	 < 0.01	1.00E00	1.00E00
positive regulation of choline O-acetyltransferase activity (GO:1902771)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of systemic arterial blood pressure by carotid body chemoreceptor signaling (GO:0003027)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of systemic arterial blood pressure by aortic arch baroreceptor feedback (GO:0003026)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of systemic arterial blood pressure by baroreceptor feedback (GO:0003025)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
glycerol-3-phosphate catabolic process (GO:0046168)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
glycerol-3-phosphate biosynthetic process (GO:0046167)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
alcohol biosynthetic process (GO:0046165)	98	0	.71	-	 < 0.01	1.00E00	1.00E00
heme a metabolic process (GO:0046160)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
activation of protein kinase A activity (GO:0034199)	19	0	.14	-	 < 0.01	1.00E00	1.00E00
cellular response to amino acid starvation (GO:0034198)	80	0	.58	-	 < 0.01	1.00E00	1.00E00
response to DNA integrity checkpoint signaling (GO:0072402)	7	0	.05	-	 < 0.01	1.00E00	1.00E00
trichloroethylene metabolic process (GO:0018979)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
triglyceride transport (GO:0034197)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
acylglycerol transport (GO:0034196)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of choline O-acetyltransferase activity (GO:1902769)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
lung growth (GO:0060437)	6	0	.04	-	 < 0.01	1.00E00	1.00E00
bronchiole morphogenesis (GO:0060436)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
isoprenoid biosynthetic process via mevalonate (GO:1902767)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
skeletal muscle satellite cell migration (GO:1902766)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
bronchus morphogenesis (GO:0060434)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
lung pattern specification process (GO:0060432)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
primary lung bud formation (GO:0060431)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of chondrocyte development (GO:1902761)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
lymph circulation (GO:0003017)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
heart process (GO:0003015)	103	0	.75	-	 < 0.01	1.00E00	1.00E00
involuntary skeletal muscle contraction (GO:0003011)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
voluntary skeletal muscle contraction (GO:0003010)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
mRNA methylation (GO:0080009)	16	0	.12	-	 < 0.01	1.00E00	1.00E00
positive regulation of sterol import (GO:2000911)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of sterol import (GO:2000910)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
thiocyanate metabolic process (GO:0018969)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of maintenance of mitotic sister chromatid cohesion (GO:0034184)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
negative regulation of maintenance of mitotic sister chromatid cohesion (GO:0034183)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
lung connective tissue development (GO:0060427)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
propylene metabolic process (GO:0018964)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of maintenance of mitotic sister chromatid cohesion (GO:0034182)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
lung vasculature development (GO:0060426)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
phthalate metabolic process (GO:0018963)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
4-nitrophenol metabolic process (GO:0018960)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
nuclear pore organization (GO:0006999)	14	0	.10	-	 < 0.01	1.00E00	1.00E00
positive regulation of heart growth (GO:0060421)	36	0	.26	-	 < 0.01	1.00E00	1.00E00
skeletal muscle contraction (GO:0003009)	30	0	.22	-	 < 0.01	1.00E00	1.00E00
regulation of heart growth (GO:0060420)	65	0	.47	-	 < 0.01	1.00E00	1.00E00
negative regulation of cell cycle G2/M phase transition (GO:1902750)	111	0	.81	-	 < 0.01	1.00E00	1.00E00
cellular response to nitrogen starvation (GO:0006995)	13	0	.09	-	 < 0.01	1.00E00	1.00E00
response to sterol depletion (GO:0006991)	12	0	.09	-	 < 0.01	1.00E00	1.00E00
positive regulation of transcription from RNA polymerase II promoter involved in unfolded protein response (GO:0006990)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
pigment catabolic process (GO:0046149)	16	0	.12	-	 < 0.01	1.00E00	1.00E00
pigment biosynthetic process (GO:0046148)	53	0	.39	-	 < 0.01	1.00E00	1.00E00
regulation of sterol import (GO:2000909)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
tetrahydrobiopterin metabolic process (GO:0046146)	13	0	.09	-	 < 0.01	1.00E00	1.00E00
D-alanine family amino acid metabolic process (GO:0046144)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
phenol-containing compound metabolic process (GO:0018958)	92	0	.67	-	 < 0.01	1.00E00	1.00E00
heart growth (GO:0060419)	25	0	.18	-	 < 0.01	1.00E00	1.00E00
positive regulation of lens fiber cell differentiation (GO:1902748)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
response to growth hormone (GO:0060416)	35	0	.25	-	 < 0.01	1.00E00	1.00E00
negative regulation of lens fiber cell differentiation (GO:1902747)	6	0	.04	-	 < 0.01	1.00E00	1.00E00
muscle tissue morphogenesis (GO:0060415)	67	0	.49	-	 < 0.01	1.00E00	1.00E00
regulation of lens fiber cell differentiation (GO:1902746)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
imidazole-containing compound catabolic process (GO:0052805)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
aorta smooth muscle tissue morphogenesis (GO:0060414)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
atrial septum morphogenesis (GO:0060413)	15	0	.11	-	 < 0.01	1.00E00	1.00E00
negative regulation of lamellipodium organization (GO:1902744)	6	0	.04	-	 < 0.01	1.00E00	1.00E00
imidazole-containing compound metabolic process (GO:0052803)	6	0	.04	-	 < 0.01	1.00E00	1.00E00
ventricular septum morphogenesis (GO:0060412)	38	0	.28	-	 < 0.01	1.00E00	1.00E00
ER-nucleus signaling pathway (GO:0006984)	39	0	.28	-	 < 0.01	1.00E00	1.00E00
ER overload response (GO:0006983)	13	0	.09	-	 < 0.01	1.00E00	1.00E00
response to lipid hydroperoxide (GO:0006982)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of vitamin metabolic process (GO:0046137)	7	0	.05	-	 < 0.01	1.00E00	1.00E00
positive regulation of vitamin metabolic process (GO:0046136)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
pyrimidine nucleoside catabolic process (GO:0046135)	23	0	.17	-	 < 0.01	1.00E00	1.00E00
pyrimidine nucleoside biosynthetic process (GO:0046134)	16	0	.12	-	 < 0.01	1.00E00	1.00E00
pyrimidine ribonucleoside catabolic process (GO:0046133)	14	0	.10	-	 < 0.01	1.00E00	1.00E00
pyrimidine ribonucleoside metabolic process (GO:0046131)	14	0	.10	-	 < 0.01	1.00E00	1.00E00
purine ribonucleoside catabolic process (GO:0046130)	7	0	.05	-	 < 0.01	1.00E00	1.00E00
toll-like receptor 10 signaling pathway (GO:0034166)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of toll-like receptor 9 signaling pathway (GO:0034165)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
negative regulation of toll-like receptor 9 signaling pathway (GO:0034164)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of acetylcholine metabolic process (GO:0060408)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of penile erection (GO:0060407)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of penile erection (GO:0060406)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
positive regulation of toll-like receptor 8 signaling pathway (GO:0034161)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of penile erection (GO:0060405)	7	0	.05	-	 < 0.01	1.00E00	1.00E00
axonemal microtubule depolymerization (GO:0060404)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
calcium ion transport into cytosol (GO:0060402)	73	0	.53	-	 < 0.01	1.00E00	1.00E00
cytosolic calcium ion transport (GO:0060401)	90	0	.66	-	 < 0.01	1.00E00	1.00E00
positive regulation of chondrocyte proliferation (GO:1902732)	9	0	.07	-	 < 0.01	1.00E00	1.00E00
DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator (GO:0006978)	14	0	.10	-	 < 0.01	1.00E00	1.00E00
negative regulation of growth hormone receptor signaling pathway (GO:0060400)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of chondrocyte proliferation (GO:1902731)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of proteoglycan biosynthetic process (GO:1902730)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
DNA damage induced protein phosphorylation (GO:0006975)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
hyperosmotic response (GO:0006972)	24	0	.17	-	 < 0.01	1.00E00	1.00E00
hypotonic response (GO:0006971)	11	0	.08	-	 < 0.01	1.00E00	1.00E00
response to osmotic stress (GO:0006970)	76	0	.55	-	 < 0.01	1.00E00	1.00E00
purine ribonucleoside biosynthetic process (GO:0046129)	11	0	.08	-	 < 0.01	1.00E00	1.00E00
purine ribonucleoside metabolic process (GO:0046128)	22	0	.16	-	 < 0.01	1.00E00	1.00E00
pyrimidine deoxyribonucleoside catabolic process (GO:0046127)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
